Brand Name,Model,Type,Feature,Supported Releases
"Hitachi","Tri-Mode MR416i-p Gen10 Plus Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Hitachi","Smart Array E208i-a SR Gen10 Controller","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"IEIT SYSTEMS Co.
Ltd.","3008IT","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"IEIT SYSTEMS Co.
Ltd.","RT0800M7H","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"IEIT SYSTEMS Co.
Ltd.","RT0808M7R","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"IEIT SYSTEMS Co.
Ltd.","PM8222-HBA","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"IEIT SYSTEMS Co.
Ltd.","PM8204-4G","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"IEIT SYSTEMS Co.
Ltd.","PM8204-2GB","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"IEIT SYSTEMS Co.
Ltd.","RT0804M7R","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"IEIT SYSTEMS Co.
Ltd.","RT0800M7E","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"IEIT SYSTEMS Co.
Ltd.","PM8222-SmartHBA","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Intel Corporation","Intel Volume Management Device","All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Intel Corporation","AHWBPBGB24","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Intel Corporation","Intel Volume Management Device","Hybrid
All Flash","-","ESXi 9.0 (vSAN  9.0)"
"Intel Corporation","RS3UC080J","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Lenovo","ThinkSystem 430-8i SAS/SATA 12Gb Dense HBA","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A72485 - ThinkSystem RAID 9350-16i 4GB Flash PCIe 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A72486 - ThinkSystem RAID 9350-16i 4GB Flash PCIe 12Gb Internal Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A09721 - ThinkSystem RAID 930-16i 8 GB Flash PCIe 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","7Y37A01088 - ThinkSystem 430-8i SAS/SATA 12Gb HBA","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A09733 - ThinkSystem RAID 940-32i 8GB Flash PCIe Gen4 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","ThinkSystem 440-16i SAS/SATA PCIe Gen4 12Gb HBA
 4Y37A78602","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A72481 - ThinkSystem 4350-16i SAS/SATA 12Gb HBA","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Lenovo","7Y37A01086 - ThinkSystem RAID 930-24i 4GB Flash PCIe 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A09729 - ThinkSystem RAID 940-8i 8GB Flash PCIe Gen4 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A72483 - ThinkSystem RAID 9350-8i 2GB Flash PCIe 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","7Y37A01084 - ThinkSystem RAID 930-8i 2GB Flash PCIe 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A72480 - ThinkSystem 4350-8i SAS/SATA 12Gb HBA","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Lenovo","7Y37A01085 - ThinkSystem RAID 930-16i 4GB Flash PCIe 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A78600 - ThinkSystem RAID 940-16i 4GB Flash PCIe Gen4 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","ThinkSystem 440-8i SAS/SATA PCIe Gen4 12Gb HBA
 4Y37A78601","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A09730 - ThinkSystem RAID 940-16i 8GB Flash PCIe Gen4 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A09725 - ThinkSystem 440-16i SAS/SATA PCIe Gen4 12Gb Internal HBA","All Flash
Hybrid","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A09735 - ThinkSystem RAID 940-16i 8GB Flash PCIe Gen4 12Gb Internal Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","7Y37A01089 - ThinkSystem 430-16i SAS/SATA 12Gb HBA","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A72484 - ThinkSystem RAID 9350-8i 2GB Flash PCIe 12Gb Internal Adapter","All Flash
Hybrid","RAID 0","ESXi 9.0 (vSAN  9.0)"
"Lenovo","4Y37A09728 - ThinkSystem RAID 940-8i 4GB Flash PCIe Gen4 12Gb Adapter","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"LSI","SAS 9300-8i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"LSI","MegaRAID SAS 9460-8i","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"LSI","SAS 9400-16i","Hybrid","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"LSI","MegaRAID SAS 9461-16i","All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"LSI","MegaRAID SAS 9362-8i","Hybrid
All Flash","RAID 0","ESXi 9.0 (vSAN  9.0)"
"LSI","9305-16i","All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"LSI","MegaRAID SAS 9361-8i","Hybrid
All Flash","Pass-Through
vSAN Secure-wipe capable","ESXi 9.0 (vSAN  9.0)"
"Quanta Computer Inc.","Quanta 3816B","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Quanta Computer Inc.","QS-3516B-R6-PD32 /w JBOD Mode","All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Quanta Computer Inc.","Quanta 3008A","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Quanta Computer Inc.","QS-3216","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC3816 Tri-mode","All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC3908","All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC3808","All Flash
Hybrid","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC3816","All Flash
Hybrid","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC3808","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC3808","All Flash
Hybrid","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC3008","All Flash
Hybrid","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC3108","All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC3808","All Flash
Hybrid","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC3108 w/ JBOD","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"Supermicro Computer
Inc","SMC 3808","All Flash
Hybrid","Pass-Through","ESXi 9.0 (vSAN  9.0)"
"xFusion Digital Technologies Co.
Ltd","XR150-M / XP150-M","Hybrid
All Flash","Pass-Through","ESXi 9.0 (vSAN  9.0)"
